Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,088123,2017,09,55.6,Y
IDCJAC0001,088123,2017,10,42.8,Y
IDCJAC0001,088123,2017,11,75.4,Y
IDCJAC0001,088123,2017,12,44.8,Y
IDCJAC0001,088123,2018,01,60.4,Y
IDCJAC0001,088123,2018,02,9.0,Y
IDCJAC0001,088123,2018,03,34.0,Y
IDCJAC0001,088123,2018,04,28.8,Y
IDCJAC0001,088123,2018,05,83.6,Y
IDCJAC0001,088123,2018,06,71.6,Y
IDCJAC0001,088123,2018,07,75.2,Y
IDCJAC0001,088123,2018,08,70.0,N
IDCJAC0001,088123,2018,09,13.9,Y
IDCJAC0001,088123,2018,10,45.4,N
IDCJAC0001,088123,2018,12,63.0,N
IDCJAC0001,088123,2019,01,10.4,N
IDCJAC0001,088123,2019,02,13.8,Y
IDCJAC0001,088123,2019,03,10.4,N
IDCJAC0001,088123,2019,04,2.8,Y
IDCJAC0001,088123,2019,05,113.0,Y
IDCJAC0001,088123,2019,06,125.0,N
IDCJAC0001,088123,2019,07,56.5,N
IDCJAC0001,088123,2019,08,67.0,N
IDCJAC0001,088123,2019,09,31.6,N
IDCJAC0001,088123,2019,10,12.0,N
IDCJAC0001,088123,2019,11,47.0,N
IDCJAC0001,088123,2019,12,14.8,N
